Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
50,11791,species,American Kestrel,Falco sparverius,2,Council Grove SP,US-MT,02 Jul 2023,L492302,S143584098,,1
51,21235,species,Common Raven,Corvus corax,1,Council Grove SP,US-MT,02 Jul 2023,L492302,S143584098,,1
52,23649,species,Tree Swallow,Tachycineta bicolor,,Council Grove SP,US-MT,02 Jul 2023,L492302,S143584098,,1
53,6479,species,Ring-billed Gull,Larus delawarensis,2,Polleys Square,US-MT,02 Jul 2023,L25694284,S143583245,,1
54,23659,species,Violet-green Swallow,Tachycineta thalassina,,Polleys Square,US-MT,02 Jul 2023,L25694284,S143583245,,1
55,32095,species,American Goldfinch,Spinus tristis,1,Polleys Square,US-MT,02 Jul 2023,L25694284,S143583245,,1
56,4777,species,Black-chinned Hummingbird,Archilochus alexandri,1,Council Grove SP,US-MT,03 Jul 2023,L492302,S143582502,,1
57,6091,species,Spotted Sandpiper,Actitis macularius,4,Council Grove SP,US-MT,03 Jul 2023,L492302,S143582502,,1
58,7514,species,Great Blue Heron,Ardea herodias,1,Council Grove SP,US-MT,03 Jul 2023,L492302,S143582502,,1
59,8312,species,Red-tailed Hawk,Buteo jamaicensis,1,Council Grove SP,US-MT,03 Jul 2023,L492302,S143582502,,1
60,10908,species,Red-naped Sapsucker,Sphyrapicus nuchalis,1,Council Grove SP,US-MT,03 Jul 2023,L492302,S143582502,,1
61,11202,species,Hairy Woodpecker,Dryobates villosus,1,Council Grove SP,US-MT,03 Jul 2023,L492302,S143582502,,1
62,26436,species,White-breasted Nuthatch,Sitta carolinensis,1,Council Grove SP,US-MT,03 Jul 2023,L492302,S143582502,,1
63,27539,species,Gray Catbird,Dumetella carolinensis,1,Council Grove SP,US-MT,03 Jul 2023,L492302,S143582502,,1
64,34011,species,Black-headed Grosbeak,Pheucticus melanocephalus,3,Council Grove SP,US-MT,03 Jul 2023,L492302,S143582502,,1
65,7416,species,Snowy Egret,Egretta thula,1,Shoal Creek Greenbelt--Pease District Park area,US-TX,04 Jul 2023,L270814,S143579800,,1
66,10979,species,Red-bellied Woodpecker,Melanerpes carolinus,1,Shoal Creek Greenbelt--Pease District Park area,US-TX,04 Jul 2023,L270814,S143579800,,1
67,17021,species,Great Crested Flycatcher,Myiarchus crinitus,1,Shoal Creek Greenbelt--Pease District Park area,US-TX,04 Jul 2023,L270814,S143579800,,1
68,23772,species,Barn Swallow,Hirundo rustica,,Shoal Creek Greenbelt--Pease District Park area,US-TX,04 Jul 2023,L270814,S143579800,,1
69,32087,species,Lesser Goldfinch,Spinus psaltria,16,Shoal Creek Greenbelt--Pease District Park area,US-TX,04 Jul 2023,L270814,S143579800,,1
70,32473,species,Field Sparrow,Spizella pusilla,1,Shoal Creek Greenbelt--Pease District Park area,US-TX,04 Jul 2023,L270814,S143579800,,1
71,3874,species,Chimney Swift,Chaetura pelagica,7,"Univ. of Texas, Austin main campus",US-TX,06 Jul 2023,L1617743,S143832484,,1
73,11187,species,Ladder-backed Woodpecker,Dryobates scalaris,1,Shoal Creek Greenbelt--Pease District Park area,US-TX,07 Jul 2023,L270814,S143834438,,1
74,21774,species,Black-crested Titmouse,Baeolophus atricristatus,3,Shoal Creek Greenbelt--Pease District Park area,US-TX,07 Jul 2023,L270814,S143834438,,1
75,26669,species,Blue-gray Gnatcatcher,Polioptila caerulea,1,Shoal Creek Greenbelt--Pease District Park area,US-TX,07 Jul 2023,L270814,S143834438,,1
76,26897,species,Carolina Wren,Thryothorus ludovicianus,2,Shoal Creek Greenbelt--Pease District Park area,US-TX,07 Jul 2023,L270814,S143834438,,1
77,10963,species,Golden-fronted Woodpecker,Melanerpes aurifrons,1,Shoal Creek Greenbelt--Pease District Park area,US-TX,10 Jul 2023,L270814,S144146574,,1
78,17152,species,Western Kingbird,Tyrannus verticalis,1,Shoal Creek Greenbelt--Pease District Park area,US-TX,10 Jul 2023,L270814,S144146574,,1
79,17156,species,Eastern Kingbird,Tyrannus tyrannus,1,Shoal Creek Greenbelt--Pease District Park area,US-TX,10 Jul 2023,L270814,S144146574,,1
80,18816,species,White-eyed Vireo,Vireo griseus,1,Shoal Creek Greenbelt--Pease District Park area,US-TX,10 Jul 2023,L270814,S144146574,,1
81,5474,species,American Coot,Fulica americana,2,Hornsby Bend (HOTE 037),US-TX,15 Jul 2023,L130766,S144795875,,1
82,5741,species,Black-necked Stilt,Himantopus mexicanus,15,Hornsby Bend (HOTE 037),US-TX,15 Jul 2023,L130766,S144795875,,1
83,6109,species,Lesser Yellowlegs,Tringa flavipes,1,Hornsby Bend (HOTE 037),US-TX,15 Jul 2023,L130766,S144795875,,1
84,6187,species,Least Sandpiper,Calidris minutilla,25,Hornsby Bend (HOTE 037),US-TX,15 Jul 2023,L130766,S144795875,,1
85,7487,species,Western Cattle Egret,Bubulcus ibis,8,Hornsby Bend (HOTE 037),US-TX,15 Jul 2023,L130766,S144795875,,1
86,17172,species,Scissor-tailed Flycatcher,Tyrannus forficatus,4,Hornsby Bend (HOTE 037),US-TX,15 Jul 2023,L130766,S144795875,,1
87,27662,species,Eastern Bluebird,Sialia sialis,4,Hornsby Bend (HOTE 037),US-TX,15 Jul 2023,L130766,S144795875,,1
88,233,species,Black-bellied Whistling-Duck,Dendrocygna autumnalis,8,Mueller Lake Park,US-TX,17 Jul 2023,L512026,S144832661,,1
89,397,species,Egyptian Goose,Alopochen aegyptiaca,2,Mueller Lake Park,US-TX,17 Jul 2023,L512026,S144832661,P,1
91,8284,species,Red-shouldered Hawk,Buteo lineatus,1,Mueller Lake Park,US-TX,18 Jul 2023,L512026,S144934517,,1
92,8293,species,Broad-winged Hawk,Buteo platypterus,3,Mueller Lake Park,US-TX,19 Jul 2023,L512026,S145022898,,1
93,12576,species,Monk Parakeet,Myiopsitta monachus,6,"Patterson Neighborhood Park, Austin",US-TX,20 Jul 2023,L9701736,S145104341,N,1
95,26911,species,Bewick's Wren,Thryomanes bewickii,2,Ashwood Road + Cherrywood Neighborhood,US-TX,21 Jul 2023,L26073530,S145193477,,1
96,7926,species,Mississippi Kite,Ictinia mississippiensis,1,Ashwood Road + Cherrywood Neighborhood,US-TX,21 Jul 2023,L26073530,S145206944,,1
97,8122,species,Cooper's Hawk,Accipiter cooperii,1,Ashwood Road + Cherrywood Neighborhood,US-TX,22 Jul 2023,L26073530,S145285068,,1
98,21771,species,Tufted Titmouse,Baeolophus bicolor,2,Saxon Trail,US-TX,24 Jul 2023,L26165994,S145516447,,1
99,7401,species,Little Blue Heron,Egretta caerulea,2,Grapevine Lake--Meadowmere Pk (Tarrant Co. portion),US-TX,25 Jul 2023,L607561,S145635413,,1
100,9011,species,Barred Owl,Strix varia,1,Saxon Trail,US-TX,26 Jul 2023,L26165994,S145672022,,1
101,7364,species,Yellow-crowned Night Heron,Nyctanassa violacea,3,Colleyville Nature Ctr. (PPW-W 082),US-TX,28 Jul 2023,L562950,S145829297,,1
102,16654,species,Least Flycatcher,Empidonax minimus,1,Colleyville Nature Ctr. (PPW-W 082),US-TX,28 Jul 2023,L562950,S145829297,,1
103,979,species,Northern Bobwhite,Colinus virginianus,1,Ashwood Road + Cherrywood Neighborhood,US-TX,31 Jul 2023,L26073530,S146103405,,1
104,478,species,Gadwall,Mareca strepera,1,Mueller Lake Park,US-TX,11 Aug 2023,L512026,S147250017,,1
105,634,species,Ring-necked Duck,Aythya collaris,1,Mueller Lake Park,US-TX,18 Aug 2023,L512026,S147541426,,1
106,4776,species,Ruby-throated Hummingbird,Archilochus colubris,1,Ashwood Road + Cherrywood Neighborhood,US-TX,23 Aug 2023,L26073530,S147930943,,1
107,33426,species,Northern Waterthrush,Parkesia noveboracensis,1,Ashwood Road + Cherrywood Neighborhood,US-TX,27 Aug 2023,L26073530,S148270396,,1
108,16641,species,Acadian Flycatcher,Empidonax virescens,1,Mueller Lake Park,US-TX,29 Aug 2023,L512026,S148414388,,1
