Row # ,Link,Common Name
1,"<iframe src=""https://macaulaylibrary.org/asset/615401998/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",White-winged Dove
2,"<iframe src=""https://macaulaylibrary.org/asset/610450417/embed"" height=""504"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Blue Jay
3,"<iframe src=""https://macaulaylibrary.org/asset/615903933/embed"" height=""515"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Great-tailed Grackle
4,"<iframe src=""https://macaulaylibrary.org/asset/609957047/embed"" height=""533"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Black Vulture
5,"<iframe src=""https://macaulaylibrary.org/asset/611667699/embed"" height=""504"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Northern Mockingbird
6,"<iframe src=""https://macaulaylibrary.org/asset/614630498/embed"" height=""533"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",House Sparrow
7,n,Common Grackle
8,"<iframe src=""https://macaulaylibrary.org/asset/601085001/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Green Heron
9,"<iframe src=""https://macaulaylibrary.org/asset/614038715/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Great Egret
10,"<iframe src=""https://macaulaylibrary.org/asset/615253617/embed"" height=""533"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Eastern Phoebe
11,"<iframe src=""https://macaulaylibrary.org/asset/615182325/embed"" height=""548"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Carolina Chickadee
12,"<iframe src=""https://macaulaylibrary.org/asset/612476388/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Northern Cardinal
13,n,Black-billed Magpie
14,n,Eurasian Collared-Dove
15,n,Western Wood-Pewee
16,n,Red-eyed Vireo
17,n,Mountain Chickadee
18,n,Lazuli Bunting
19,"<iframe src=""https://macaulaylibrary.org/asset/610984610/embed"" height=""498"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Canada Goose
20,"<iframe src=""https://macaulaylibrary.org/asset/610801539/embed"" height=""474"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Mallard
21,"<iframe src=""https://macaulaylibrary.org/asset/615452069/embed"" height=""533"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Mourning Dove
22,"<iframe src=""https://macaulaylibrary.org/asset/614038728/embed"" height=""548"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Downy Woodpecker
23,n,American Crow
24,"<iframe src=""https://macaulaylibrary.org/asset/615698899/embed"" height=""520"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Red-winged Blackbird
25,"<iframe src=""https://macaulaylibrary.org/asset/610984731/embed"" height=""533"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Killdeer
26,"<iframe src=""https://macaulaylibrary.org/asset/614194311/embed"" height=""548"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",White-crowned Sparrow
27,"<iframe src=""https://macaulaylibrary.org/asset/612769606/embed"" height=""533"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Song Sparrow
28,"<iframe src=""https://macaulaylibrary.org/asset/615182340/embed"" height=""548"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Northern Flicker
29,n,Black-capped Chickadee
30,n,Bank Swallow
31,"<iframe src=""https://macaulaylibrary.org/asset/615182100/embed"" height=""533"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",European Starling
32,n,Brown-headed Cowbird
33,n,Common Nighthawk
34,"<iframe src=""https://macaulaylibrary.org/asset/608964174/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Yellow Warbler
35,"<iframe src=""https://macaulaylibrary.org/asset/615452569/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Rock Pigeon
36,n,Rufous Hummingbird
37,"<iframe src=""https://macaulaylibrary.org/asset/615698869/embed"" height=""548"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Osprey
38,"<iframe src=""https://macaulaylibrary.org/asset/611234702/embed"" height=""504"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Cedar Waxwing
39,"<iframe src=""https://macaulaylibrary.org/asset/612476387/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",House Finch
40,"<iframe src=""https://macaulaylibrary.org/asset/613019648/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",American Robin
41,n,Brewer's Blackbird
42,n,Calliope Hummingbird
43,n,Pygmy Nuthatch
44,"<iframe src=""https://macaulaylibrary.org/asset/613862606/embed"" height=""548"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Chipping Sparrow
45,n,Common Merganser
46,"<iframe src=""https://macaulaylibrary.org/asset/614747171/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Turkey Vulture
47,"<iframe src=""https://macaulaylibrary.org/asset/612769556/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Bald Eagle
48,"<iframe src=""https://macaulaylibrary.org/asset/612476379/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Belted Kingfisher
49,n,Lewis's Woodpecker
50,n,American Kestrel
51,"<iframe src=""https://macaulaylibrary.org/asset/615099617/embed"" height=""533"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Common Raven
52,"<iframe src=""https://macaulaylibrary.org/asset/615714247/embed"" height=""548"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Tree Swallow
53,"<iframe src=""https://macaulaylibrary.org/asset/612769519/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Ring-billed Gull
54,n,Violet-green Swallow
55,"<iframe src=""https://macaulaylibrary.org/asset/613019267/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",American Goldfinch
56,n,Black-chinned Hummingbird
57,"<iframe src=""https://macaulaylibrary.org/asset/615724812/embed"" height=""533"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Spotted Sandpiper
58,"<iframe src=""https://macaulaylibrary.org/asset/615714260/embed"" height=""540"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Great Blue Heron
59,"<iframe src=""https://macaulaylibrary.org/asset/613019210/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Red-tailed Hawk
60,n,Red-naped Sapsucker
61,n,Hairy Woodpecker
62,n,White-breasted Nuthatch
63,"<iframe src=""https://macaulaylibrary.org/asset/615697236/embed"" height=""533"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Gray Catbird
